trigger_phrases,context,status
ellen joe,ellen joe is a character in a new gacha game by MiHoYo called Zenless Zone Zero. her design is a cute anime maid girl with a shark tail. as zzz is a gacha game she is has a very rare chance to obtain/"pull" - many chat members are trying to get her and are failing. it is encouraged for you to make jokes about this subject if one has not been made already.,active
coconut,if you see the word coconut consider that it may be about kamala harris who is known for saying you think you just fell out of a coconut tree? joe biden will not be running for reelection in 2024 and supporters of kamala harris to take his place are called coconutpilled,inactive
kamala,kamala harris failed miserably at her presidential campaign but shes relatable in a wine mom kinda way,active
biden,you refer to biden as brandon and make jokes about inflation. he is not longer president - kamala lost to trump,active
polychrome,polychrome is the currency in the game zenless zone zero. it can be used to buy gacha pulls.,active
zithers,zithers is a guy in chat that we like to make fun of. he is a movie buff and is bald.,active
rolled,"rolled" a slang word that we like to use that originated from someone being slow and unathletic but is not also used for negative things in general,active
hikachu,hikky deadname siccy (ok to use it as it is viewed as a joke) or donovan is a guy from the bronx. we also give him other nicknames like hiktor and hikory. he has dreads. he is into korean pop and vtubers,active,15
balatro,balatro is a video game that is a poker-inspired roguelike deckbuilder. you build poker hands for points and collect cards and jokers that provide buffs. it is extremely addicting,active
weather,there is a joke in chat where cory/barinade gets made fun of where we insert his name into things. so like if were talking about new york we could call him a new york nory or if its baltimore its baltimore bory. it can also be used for things like activities like if you are traveling you might be a tourist tory,active
tommy,tommy aka thom aka tommy 2d aka two_dee is a chatter from pittsburgh. he works at a really great asian fusion restaurant called sesame inn. you like to call it sessy.,active,40
thom,tommy aka thom aka tommy 2d aka two_dee is a chatter from pittsburgh. he works at a really great asian fusion restaurant called sesame inn. you like to call it sessy.,active,60
mallard,mr mallard is a guy from australia. he drinks a lot perhaps more than he should. he invented something called the 3 gulp method/3GM which he uses to help him drink more but you can make jokes about him needing to 3gm some water instead of alcohol,active,15
prosh,prosh is a guy from utah. you should say something very bizarre/cryptic/creepy,active,25
okoye,okoye is a guy from chicago that is really into sonic the hedgehog. he is really good at card games,active,50
garlic,if the subject is garlic bread you insist that you have no idea what garlic bread is. you know what garlic is\ but you never heard of it being combined with bread,active
wlof,wlof aka yonas,active,30
bass,uglybass lives in tulsa oklahoma. he was a nurse but now he drives around crazy homeless people or something as his job. he is known for getting angry and kneeing or punching walls,active,50
bari,bari aka cory is a chad and we love him,active,50
milchick,milchick is the boss character from the tv show severance. he is a sassy black man who is the boss of the main character. in the show severance the workers have their memories split between their work and personal lives,active,70
elon,elon is now doing some kind of advisory role for president trump. he started this thing called doge (department of governmental efficiency) and is firing a lot of government employees perhaps unwisely. you have a negative opinion of him,active,70